"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","WEALTHQUINTILE (CODE)","WEALTHQUINTILE (DISPLAY)","WEALTHQUINTILE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2009","2009","","AMR","Americas","","GUY","Guyana","","WQ3","Q3","","45.0 [39.8-50.3]","44.96444","39.75382","50.28796","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2009","2009","","AMR","Americas","","GUY","Guyana","","WQ3","Q3","","63.7 [57.4-69.6]","63.71033","57.41289","69.57011","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2009","2009","","AMR","Americas","","GUY","Guyana","","WQ5","Q5 (Richest)","","67.2 [61.6-72.3]","67.18301","61.64607","72.28003","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","AMR","Americas","","HTI","Haiti","","WQ4","Q4","","24.2 [20.7-28.1]","24.18139","20.69193","28.05116","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","AMR","Americas","","HTI","Haiti","","WQ1","Q1 (Poorest)","","21.2 [17.9-24.9]","21.20311","17.90746","24.92114","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","AMR","Americas","","HTI","Haiti","","WQ1","Q1 (Poorest)","","32.3 [27.8-37.3]","32.34332","27.76924","37.28194","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","AMR","Americas","","HTI","Haiti","","WQ3","Q3","","45.1 [37.7-52.7]","45.09469","37.67472","52.73942","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2012","2012","","AMR","Americas","","HTI","Haiti","","WQ2","Q2","","29.8 [26.1-33.7]","29.76920","26.10089","33.71783","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2012","2012","","AMR","Americas","","HTI","Haiti","","WQ4","Q4","","38.0 [34.7-41.3]","37.97382","34.74460","41.31314","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2012","2012","","AMR","Americas","","HTI","Haiti","","WQ1","Q1 (Poorest)","","47.0 [43.0-51.1]","47.03697","42.98994","51.12333","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","HND","Honduras","","WQ2","Q2","","72.3 [70.3-74.3]","72.34537","70.34529","74.25990","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","HND","Honduras","","WQ4","Q4","","74.6 [72.6-76.5]","74.61489","72.58942","76.53907","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","SEAR","South-East Asia","","IND","India","","WQ5","Q5 (Richest)","","58.0 [57.0-59.1]","58.01804","56.96949","59.05940","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","SEAR","South-East Asia","","IND","India","","WQ2","Q2","","51.1 [49.8-52.3]","51.09146","49.83691","52.34464","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","SEAR","South-East Asia","","IND","India","","WQ2","Q2","","78.2 [76.9-79.4]","78.16306","76.88609","79.38839","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","SEAR","South-East Asia","","IND","India","","WQ4","Q4","","85.7 [84.8-86.6]","85.73132","84.82711","86.59017","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1997","1997","","SEAR","South-East Asia","","IDN","Indonesia","","WQ3","Q3","","56.8 [54.1-59.4]","56.78223","54.13612","59.39020","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1997","1997","","SEAR","South-East Asia","","IDN","Indonesia","","WQ5","Q5 (Richest)","","56.9 [54.8-58.9]","56.87127","54.80342","58.91543","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1997","1997","","SEAR","South-East Asia","","IDN","Indonesia","","WQ2","Q2","","84.9 [82.8-86.8]","84.91953","82.79599","86.82268","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2002","2002","","SEAR","South-East Asia","","IDN","Indonesia","","WQ4","Q4","","63.0 [60.7-65.2]","62.97758","60.68785","65.21040","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2007","2007","","SEAR","South-East Asia","","IDN","Indonesia","","WQ1","Q1 (Poorest)","","49.9 [47.8-51.9]","49.87408","47.80687","51.94172","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","IDN","Indonesia","","WQ2","Q2","","64.3 [62.4-66.1]","64.27699","62.38091","66.12939","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","IDN","Indonesia","","WQ4","Q4","","63.0 [61.1-64.7]","62.95293","61.12809","64.74153","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","EMR","Eastern Mediterranean","","IRQ","Iraq","","WQ5","Q5 (Richest)","","35.7 [33.6-37.9]","35.70446","33.60826","37.85686","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","EMR","Eastern Mediterranean","","IRQ","Iraq","","WQ2","Q2","","52.1 [50.4-53.8]","52.10280","50.39328","53.80742","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","EMR","Eastern Mediterranean","","IRQ","Iraq","","WQ4","Q4","","No data","","","","","","Not available."
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","JAM","Jamaica","","WQ3","Q3","","No data","","","","","","Not available."
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","JAM","Jamaica","","WQ5","Q5 (Richest)","","No data","","","","","","Not available."
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","JAM","Jamaica","","WQ5","Q5 (Richest)","","No data","","","","","","Not available."
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","JAM","Jamaica","","WQ2","Q2","","No data","","","","","","Not available."
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","JOR","Jordan","","WQ1","Q1 (Poorest)","","31.7 [29.0-34.6]","31.73516","28.97585","34.62914","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","JOR","Jordan","","WQ3","Q3","","40.9 [37.6-44.2]","40.90152","37.64182","44.24323","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","JOR","Jordan","","WQ3","Q3","","56.9 [53.4-60.3]","56.86411","53.38104","60.28057","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","JOR","Jordan","","WQ5","Q5 (Richest)","","66.4 [61.7-70.8]","66.37096","61.68963","70.75147","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","JOR","Jordan","","WQ1","Q1 (Poorest)","","58.0 [54.7-61.2]","57.98023","54.71852","61.17371","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","JOR","Jordan","","WQ3","Q3","","59.9 [56.7-63.0]","59.93172","56.74472","63.03686","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","JOR","Jordan","","WQ5","Q5 (Richest)","","88.0 [83.2-91.5]","87.96415","83.23341","91.49646","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1999","1999","","EUR","Europe","","KAZ","Kazakhstan","","WQ4","Q4","","54.6 [49.7-59.4]","54.59849","49.71624","59.39388","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1999","1999","","EUR","Europe","","KAZ","Kazakhstan","","WQ1","Q1 (Poorest)","","63.8 [55.1-71.7]","63.83277","55.14082","71.70479","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1999","1999","","EUR","Europe","","KAZ","Kazakhstan","","WQ3","Q3","","88.6 [85.0-91.5]","88.64441","84.99434","91.49545","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1999","1999","","EUR","Europe","","KAZ","Kazakhstan","","WQ5","Q5 (Richest)","","91.8 [89.0-94.0]","91.82816","88.96667","93.99759","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2006","2006","","EUR","Europe","","KAZ","Kazakhstan","","WQ5","Q5 (Richest)","","59.3 [56.2-62.3]","59.27178","56.16581","62.30538","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2010","2010","","EUR","Europe","","KAZ","Kazakhstan","","WQ2","Q2","","45.1 [42.4-47.8]","45.09752","42.43013","47.79339","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2010","2010","","EUR","Europe","","KAZ","Kazakhstan","","WQ4","Q4","","53.6 [50.8-56.4]","53.58795","50.79002","56.36347","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2010","2010","","EUR","Europe","","KAZ","Kazakhstan","","WQ1","Q1 (Poorest)","","No data","","","","","","Not available."
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1993","1993","","AFR","Africa","","KEN","Kenya","","WQ3","Q3","","31.8 [28.6-35.2]","31.81100","28.63401","35.16678","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1993","1993","","AFR","Africa","","KEN","Kenya","","WQ5","Q5 (Richest)","","51.7 [48.0-55.4]","51.73455","48.02707","55.42303","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1998","1998","","AFR","Africa","","KEN","Kenya","","WQ2","Q2","","24.1 [21.0-27.5]","24.07754","20.97804","27.47575","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2003","2003","","AFR","Africa","","KEN","Kenya","","WQ1","Q1 (Poorest)","","17.9 [14.7-21.5]","17.86410","14.72444","21.50440","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2003","2003","","AFR","Africa","","KEN","Kenya","","WQ3","Q3","","42.0 [37.2-46.9]","41.96624","37.21159","46.87487","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2003","2003","","AFR","Africa","","KEN","Kenya","","WQ5","Q5 (Richest)","","75.7 [71.7-79.3]","75.68922","71.72323","79.25981","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1997","1997","","EUR","Europe","","KGZ","Kyrgyzstan","","WQ4","Q4","","50.9 [46.4-55.4]","50.93573","46.42578","55.43050","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1997","1997","","EUR","Europe","","KGZ","Kyrgyzstan","","WQ1","Q1 (Poorest)","","54.8 [48.5-60.8]","54.75333","48.53780","60.82407","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1997","1997","","EUR","Europe","","KGZ","Kyrgyzstan","","WQ3","Q3","","85.3 [79.5-89.6]","85.26351","79.54651","89.59163","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1997","1997","","EUR","Europe","","KGZ","Kyrgyzstan","","WQ5","Q5 (Richest)","","84.8 [80.6-88.3]","84.82165","80.60207","88.25707","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2012","2012","","EUR","Europe","","KGZ","Kyrgyzstan","","WQ2","Q2","","35.2 [31.9-38.6]","35.19896","31.94191","38.59976","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2012","2012","","EUR","Europe","","KGZ","Kyrgyzstan","","WQ4","Q4","","30.5 [27.3-33.9]","30.46873","27.26867","33.86945","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2012","2012","","EUR","Europe","","KGZ","Kyrgyzstan","","WQ4","Q4","","32.4 [29.2-35.9]","32.43192","29.16028","35.88467","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2012","2012","","EUR","Europe","","KGZ","Kyrgyzstan","","WQ1","Q1 (Poorest)","","70.0 [65.3-74.4]","70.01000","65.27146","74.35601","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2012","2012","","EUR","Europe","","KGZ","Kyrgyzstan","","WQ3","Q3","","64.7 [59.0-70.1]","64.73385","58.96317","70.10448","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2006","2006","","WPR","Western Pacific","","LAO","Lao People's Democratic Republic","","WQ2","Q2","","No data","","","","","","Not available."
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2006","2006","","WPR","Western Pacific","","LAO","Lao People's Democratic Republic","","WQ2","Q2","","No data","","","","","","Not available."
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2006","2006","","WPR","Western Pacific","","LAO","Lao People's Democratic Republic","","WQ4","Q4","","No data","","","","","","Not available."
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2004","2004","","AFR","Africa","","LSO","Lesotho","","WQ5","Q5 (Richest)","","53.2 [48.6-57.7]","53.17946","48.57257","57.73277","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2004","2004","","AFR","Africa","","LSO","Lesotho","","WQ2","Q2","","26.2 [22.6-30.1]","26.19567","22.63140","30.10286","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2004","2004","","AFR","Africa","","LSO","Lesotho","","WQ4","Q4","","59.2 [53.1-65.0]","59.19664","53.14960","64.97749","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2007","2007","","AFR","Africa","","LBR","Liberia","","WQ3","Q3","","12.9 [9.4-17.3]","12.85658","9.40351","17.33502","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2007","2007","","AFR","Africa","","LBR","Liberia","","WQ5","Q5 (Richest)","","17.1 [13.3-21.8]","17.11089","13.25044","21.81325","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2007","2007","","AFR","Africa","","LBR","Liberia","","WQ2","Q2","","13.3 [9.5-18.3]","13.29416","9.52075","18.26126","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2007","2007","","AFR","Africa","","LBR","Liberia","","WQ4","Q4","","28.9 [24.8-33.4]","28.93293","24.80754","33.43927","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1997","1997","","AFR","Africa","","MDG","Madagascar","","WQ1","Q1 (Poorest)","","2.3 [1.2-4.3]","2.27400","1.19747","4.27643","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1997","1997","","AFR","Africa","","MDG","Madagascar","","WQ3","Q3","","7.3 [4.8-11.0]","7.27795","4.76040","10.97351","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1997","1997","","AFR","Africa","","MDG","Madagascar","","WQ2","Q2","","21.8 [15.9-29.0]","21.75708","15.90885","29.01341","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2003","2003","","AFR","Africa","","MDG","Madagascar","","WQ2","Q2","","14.0 [10.4-18.5]","13.99179","10.44687","18.49123","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2003","2003","","AFR","Africa","","MDG","Madagascar","","WQ4","Q4","","33.2 [28.0-39.0]","33.24326","27.95142","38.99472","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","AFR","Africa","","MDG","Madagascar","","WQ1","Q1 (Poorest)","","17.6 [15.4-20.1]","17.61818","15.39232","20.08948","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","AFR","Africa","","MWI","Malawi","","WQ5","Q5 (Richest)","","39.6 [36.4-43.0]","39.61843","36.35051","42.98176","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","AFR","Africa","","MWI","Malawi","","WQ2","Q2","","29.3 [26.3-32.4]","29.25377","26.30890","32.38342","","",""
